Country,Medal,Bronze,Silver,Gold
Afghanistan,2,2,0,0
Albania,0,0,0,0
Algeria,17,8,4,5
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua,0,0,0,0
Argentina,274,91,92,91
Armenia,16,9,5,2
Aruba,0,0,0,0
Australia,1349,522,459,368
Austria,450,156,186,108
Azerbaijan,44,25,12,7
Bahamas,40,15,11,14
Bahrain,3,1,1,1
Bangladesh,0,0,0,0
Barbados,1,1,0,0
Belarus,139,71,44,24
Belgium,468,173,197,98
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,1,1,0,0
Bhutan,0,0,0,0
Boliva,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,1,0,1,0
Brazil,475,191,175,109
Brunei,0,0,0,0
Bulgaria,342,144,144,54
Burkina Faso,0,0,0,0
Burundi,2,0,1,1
Cambodia,0,0,0,0
Cameroon,22,1,1,20
Canada,1352,451,438,463
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,32,20,9,3
China,993,293,349,351
Colombia,28,14,9,5
Comoros,0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,4,2,1,1
Croatia,149,37,54,58
Cuba,409,116,129,164
Curacao,1,0,1,0
Cyprus,1,0,1,0
Czech Republic,644,259,262,123
Democratic Republic of the Congo,0,0,0,0
Denmark,597,177,241,179
Djibouti,1,1,0,0
Dominica,0,0,0,0
Dominican Republic,7,2,2,3
Ecuador,2,0,1,1
Egypt,27,12,8,7
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,1,1,0,0
Estonia,50,25,12,13
Ethiopia,53,22,9,22
Fiji,13,0,0,13
Finland,900,432,270,198
France,1777,666,610,501
Gabon,1,0,1,0
Gambia,0,0,0,0
Georgia,32,18,6,8
Germany,3756,1260,1195,1301
Ghana,23,22,1,0
Greece,255,84,109,62
Grenada,2,0,1,1
Guam,0,0,0,0
Guatemala,1,0,1,0
Guinea,0,0,0,0
